3433,Marina Muni,Fort Ord,United States,OAR,KOAR,36.681878,-121.762347,134,-8,A,America/Los_Angeles
3434,Sacramento Mather,Sacramento,United States,MHR,KMHR,38.553897,-121.297592,96,-8,A,America/Los_Angeles
3435,Bicycle Lake Aaf,Fort Irwin,United States,BYS,KBYS,35.280531,-116.630031,2350,-8,A,America/Los_Angeles
3436,Twentynine Palms Eaf,Twenty Nine Palms,United States,NXP,KNXP,34.296161,-116.162203,2051,-8,A,America/Los_Angeles
3449,Travis Afb,Fairfield,United States,SUU,KSUU,38.262692,-121.927464,62,-8,A,America/Los_Angeles
3453,Metropolitan Oakland Intl,Oakland,United States,OAK,KOAK,37.721278,-122.220722,9,-8,A,America/Los_Angeles
3455,Port Angeles Cgas,Port Angeles,United States,NOW,KNOW,48.141481,-123.414075,13,-8,A,America/Los_Angeles
3467,Spokane Intl,Spokane,United States,GEG,KGEG,47.619861,-117.533833,2376,-8,A,America/Los_Angeles
3469,San Francisco Intl,San Francisco,United States,SFO,KSFO,37.618972,-122.374889,13,-8,A,America/Los_Angeles
3484,Los Angeles Intl,Los Angeles,United States,LAX,KLAX,33.942536,-118.408075,126,-8,A,America/Los_Angeles
3490,China Lake Naws,China,United States,NID,KNID,35.685422,-117.692039,2283,-8,A,America/Los_Angeles
3496,Creech Afb,Indian Springs,United States,INS,KINS,36.587183,-115.673353,3133,-8,A,America/Los_Angeles
3505,Miramar Mcas,Miramar,United States,NKX,KNKX,32.867694,-117.14175,478,-8,A,America/Los_Angeles
3508,Jack Northrop Fld Hawthorne Muni,Hawthorne,United States,HHR,KHHR,33.922839,-118.335186,66,-8,A,America/Los_Angeles
3511,Point Mugu Nas,Point Mugu,United States,NTD,KNTD,34.120285,-119.12094,13,-8,A,America/Los_Angeles
3512,Edwards Afb,Edwards Afb,United States,EDW,KEDW,34.905417,-117.883739,2302,-8,A,America/Los_Angeles
3516,Lemoore Nas,Lemoore,United States,NLC,KNLC,36.333012,-119.95208,234,-8,A,America/Los_Angeles
3530,Gray Aaf,Fort Lewis,United States,GRF,KGRF,47.079217,-122.580783,302,-8,A,America/Los_Angeles
3554,Southern California Logistics,Victorville,United States,VCV,KVCV,34.597453,-117.382997,2885,-8,A,America/Los_Angeles
3558,Meadows Fld,Bakersfield,United States,BFL,KBFL,35.433598,-119.05677,507,-8,A,America/Los_Angeles
3573,Whidbey Island Nas,Whidbey Island,United States,NUW,KNUW,48.351803,-122.655906,47,-8,A,America/Los_Angeles
3577,Seattle Tacoma Intl,Seattle,United States,SEA,KSEA,47.449,-122.309306,433,-8,A,America/Los_Angeles
3582,Long Beach,Long Beach,United States,LGB,KLGB,33.817722,-118.151611,60,-8,A,America/Los_Angeles
3592,Tonopah Test Range,Tonopah,United States,TNX,KTNX,37.798836,-116.78075,5549,-8,A,America/Los_Angeles
3594,North Island Nas,San Diego,United States,NZY,KNZY,32.699219,-117.21531,26,-8,A,America/Los_Angeles
3605,Grant Co Intl,Grant County Airport,United States,MWH,KMWH,47.207708,-119.32019,1185,-8,A,America/Los_Angeles
3616,Scappoose Industrial Airpark,San Luis,United States,SPB,KSPB,45.771028,-122.861833,58,-8,A,America/Los_Angeles
3638,Beale Afb,Marysville,United States,BAB,KBAB,39.136089,-121.436567,113,-8,A,America/Los_Angeles
3643,Rancho Murieta,Rancho Murieta,United States,RIU,KRIU,38.486778,-121.102778,141,-8,A,America/Los_Angeles
3644,Bob Hope,Burbank,United States,BUR,KBUR,34.200667,-118.358667,778,-8,A,America/Los_Angeles
3663,Sacramento Executive,Sacramento,United States,SAC,KSAC,38.512524,-121.49347,24,-8,A,America/Los_Angeles
3667,Fairchild Afb,Spokane,United States,SKA,KSKA,47.615058,-117.655772,2461,-8,A,America/Los_Angeles
3672,Mc Chord Afb,Tacoma,United States,TCM,KTCM,47.137678,-122.476475,322,-8,A,America/Los_Angeles
3683,Castle,Merced,United States,MER,KMER,37.380481,-120.568189,189,-8,A,America/Los_Angeles
3684,Mc Clellan Afld,Sacramento,United States,MCC,KMCC,38.667639,-121.400611,75,-8,A,America/Los_Angeles
3687,Fresno Yosemite Intl,Fresno,United States,FAT,KFAT,36.776194,-119.71814,336,-8,A,America/Los_Angeles
3689,Imperial Co,Imperial,United States,IPL,KIPL,32.834219,-115.578744,-54,-8,A,America/Los_Angeles
3709,Calexico Intl,Calexico,United States,CXL,KCXL,32.669502,-115.51333,4,-8,A,America/Los_Angeles
3710,Chico Muni,Chico,United States,CIC,KCIC,39.795383,-121.858422,238,-8,A,America/Los_Angeles
3716,Felts Fld,Spokane,United States,SFF,KSFF,47.682819,-117.322558,1953,-8,A,America/Los_Angeles
3720,Portland Intl,Portland,United States,PDX,KPDX,45.588722,-122.5975,30,-8,A,America/Los_Angeles
3726,Boeing Fld King Co Intl,Seattle,United States,BFI,KBFI,47.53,-122.301947,21,-8,A,America/Los_Angeles
3731,San Diego Intl,San Diego,United States,SAN,KSAN,32.733556,-117.189667,17,-8,A,America/Los_Angeles
3734,Ontario Intl,Ontario,United States,ONT,KONT,34.056,-117.601194,944,-8,A,America/Los_Angeles
